"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
005,,005,,,005,,,,,,,,,,,,,,,,,,
redufo,,redufo,,,"Defend the Terra Attack on the Red UFO",,,,,,,,,,,,,,,,,,
redufo,,redufob,,,"Defend the Terra Attack on the Red UFO",,,(bootleg),,,,,,,,,,,,,,,
reelfun,,reelfun,,,"Reel Fun",,,"(Version 7.03)",,,,,,,,,,,,,,,
reelfun,,reelfun1,,,"Reel Fun",,,"(Version 7.01)",,,,,,,,,,,,,,,
reelrock,,reelrock,,,Reelin-n-Rockin,,,"(0100779V, NSW/ACT)",,,,,,,,,,,,,,,
regulus,,regulus,,,Regulus,,,"(315-5033, Rev A.)",,,,,,,,,,,,,,,
regulus,,reguluso,,,Regulus,,,(315-5033),,,,,,,,,,,,,,,
regulus,,regulusu,,,Regulus,,,"(not encrypted)",,,,,,,,,,,,,,,
reikaids,,reikaids,,,"Reikai Doushi",,,(Japan),,,,,,,,,,,,,,,
relief,,relief3,,,"Relief Pitcher",,,"(set 3, 10 Apr 1992 / 08 Apr 1992)",,,,,,,,,,,,,,,
relief,,relief,,,"Relief Pitcher",,,"(set 1, 07 Jun 1992 / 28 May 1992)",,,,,,,,,,,,,,,
relief,,relief2,,,"Relief Pitcher",,,"(set 2, 26 Apr 1992 / 08 Apr 1992)",,,,,,,,,,,,,,,
renaiclb,,renaiclb,,,"Mahjong Ren-ai Club",,,(Japan),,,,,,,,,,,,,,,
renegade,,renegade,,,Renegade,,,(US),,,,,,,,,,,,,,,
renegade,,kuniokun,,,"Nekketsu Kouha Kunio-kun",,,(Japan),,,,,,,,,,,,,,,
renegade,,kuniokunb,,,"Nekketsu Kouha Kunio-kun",,,"(Japan bootleg)",,,,,,,,,,,,,,,
renju,,renju,,,"Renju Kizoku",,,,,,,,,,,,,,,,,,
repulse,,99lstwara,,,"'99: The Last War",,,"(set 2)",,,,,,,,,,,,,,,
repulse,,99lstwar,,,"'99: The Last War",,,"(set 1)",,,,,,,,,,,,,,,
repulse,,repulse,,,Repulse,,,,,,,,,,,,,,,,,,
repulse,,sonofphx,,,"Son of Phoenix",,,"(bootleg of Repulse)",,,,,,,,,,,,,,,
repulse,,99lstwark,,,"'99: The Last War",,,(Kyugo),,,,,,,,,,,,,,,
rescraid,,rescraid,,,"Rescue Raider",,,"(5/11/87) (non-cartridge)",,,,,,,,,,,,,,,
rescraid,,rescraida,,,"Rescue Raider",,,(stand-alone),,,,,,,,,,,,,,,
rescue,,aponow,,,"Apocaljpse Now",,,"(bootleg of Rescue)",,,,,,,,,,,,,,,
rescue,,rescuefe,,,Rescue,,,"(Free Enterprise Games, bootleg)",,,,,,,,,,,,,,,
rescue,,rescue,,,Rescue,,,,,,,,,,,,,,,,,,
resdnt_6,,resdnt_2,,,Resident,,,"(040513 World)",,,,,,,,,,,,,,,
resdnt_6,,resdnt_6,,,Resident,,,"(100311 World)",,,,,,,,,,,,,,,
retofinv,,retofinv,,,"Return of the Invaders",,,,,,,,,,,,,,,,,,
retofinv,,retofinv1,,,"Return of the Invaders",,,"(bootleg set 1)",,,,,,,,,,,,,,,
retofinv,,retofinv2,,,"Return of the Invaders",,,"(bootleg set 2)",,,,,,,,,,,,,,,
revenger,,revenger,,,Revenger,,,,,,,,,,,,,,,,,,
revx,,revx,,,"Revolution X",,,"(rev 1.0 6/16/94)",,,,,,,,,,,,,,,
rezon,,rezont,,,Rezon,,,(Taito),,,,,,,,,,,,,,,
rezon,,rezon,,,Rezon,,,,,,,,,,,,,,,,,,
rfjet,,rfjeta,,,"Raiden Fighters Jet",,,(Korea),,,,,,,,,,,,,,,
rfjet,,rfjetj,,,"Raiden Fighters Jet",,,(Japan),,,,,,,,,,,,,,,
rfjet,,rfjet,,,"Raiden Fighters Jet",,,(Germany),,,,,,,,,,,,,,,
rfjet,,rfjet2kc,,,"Raiden Fighters Jet 2000",,,"(China, SYS386I)",,,,,,,,,,,,,,,
rfjet,,rfjetu,,,"Raiden Fighters Jet",,,(US),,,,,,,,,,,,,,,
rfjet,,rfjetsa,,,"Raiden Fighters Jet",,,"(US, single board, test version?)",,,,,,,,,,,,,,,
rfjet,,rfjets,,,"Raiden Fighters Jet",,,"(US, single board)",,,,,,,,,,,,,,,
rfmpb,,rfmpb,,,"Pinball 2000: Revenge From Mars",,,"(rev. 1)",,,,,,,,,,,,,,,
ribbit,,ribbit,,,Ribbit!,,,,,,,,,,,,,,,,,,
ridgera2,,ridgera2ja,,,"Ridge Racer 2",,,"(Rev. RRS1, Japan)",,,,,,,,,,,,,,,
ridgera2,,ridgera2j,,,"Ridge Racer 2",,,"(Rev. RRS1 Ver.B, Japan)",,,,,,,,,,,,,,,
ridgera2,,ridgera2,,,"Ridge Racer 2",,,"(Rev. RRS2, World)",,,,,,,,,,,,,,,
ridgerac,,ridgeracf,,,"Ridge Racer Full Scale",,,(World),,,,,,,,,,,,,,,
ridgerac,,ridgeracj,,,"Ridge Racer",,,"(Rev. RR1, Japan)",,,,,,,,,,,,,,,
ridgerac,,ridgerac,,,"Ridge Racer",,,"(Rev. RR3, World)",,,,,,,,,,,,,,,
ridgerac,,ridgeracb,,,"Ridge Racer",,,"(Rev. RR2, World)",,,,,,,,,,,,,,,
ridhero,,ridheroh,,,"Riding Hero",,,"(set 2)",,,,,,,,,,,,,,,
ridhero,,ridhero,,,"Riding Hero",,,"(NGM-006 ~ NGH-006)",,,,,,,,,,,,,,,
ridingf,,ridingfu,,,"Riding Fight",,,"(Ver 1.0A)",,,,,,,,,,,,,,,
ridingf,,ridingfj,,,"Riding Fight",,,"(Ver 1.0J)",,,,,,,,,,,,,,,
ridingf,,ridingf,,,"Riding Fight",,,"(Ver 1.0O)",,,,,,,,,,,,,,,
ridleofp,,ridleofp,,,"Riddle of Pythagoras",,,(Japan),,,,,,,,,,,,,,,
rimrockn,,rimrockn16,,,"Rim Rockin' Basketball",,,(V1.6),,,,,,,,,,,,,,,
rimrockn,,rimrockn20,,,"Rim Rockin' Basketball",,,(V2.0),,,,,,,,,,,,,,,
rimrockn,,rimrockn,,,"Rim Rockin' Basketball",,,(V2.2),,,,,,,,,,,,,,,
rimrockn,,rimrockn12,,,"Rim Rockin' Basketball",,,(V1.2),,,,,,,,,,,,,,,
ringdest,,ringdesta,,,"Ring of Destruction: Slammasters II",,,"(Asia 940831)",,,,,,,,,,,,,,,
ringdest,,ringdesth,,,"Ring of Destruction: Slammasters II",,,"(Hispanic 940902)",,,,,,,,,,,,,,,
ringdest,,ringdstd,,,"Ring of Destruction: Slammasters II",,,"(Euro 940902 Phoenix Edition) (bootleg)",,,,,,,,,,,,,,,
ringdest,,ringdest,,,"Ring of Destruction: Slammasters II",,,"(Euro 940902)",,,,,,,,,,,,,,,
ringdest,,smbombr1,,,"Super Muscle Bomber: The International Blowout",,,"(Japan 940808)",,,,,,,,,,,,,,,
ringdest,,smbomb,,,"Super Muscle Bomber: The International Blowout",,,"(Japan 940831)",,,,,,,,,,,,,,,
ringrage,,ringragej,,,"Ring Rage",,,"(Ver 2.3J 1992/08/09)",,,,,,,,,,,,,,,
ringrage,,ringrageu,,,"Ring Rage",,,"(Ver 2.3A 1992/08/09)",,,,,,,,,,,,,,,
ringrage,,ringrage,,,"Ring Rage",,,"(Ver 2.3O 1992/08/09)",,,,,,,,,,,,,,,
riot,,riot,,,Riot,,,,,,,,,,,,,,,,,,
riotcity,,riotcity,,,"Riot City",,,(Japan),,,,,,,,,,,,,,,
ripcord,,ripcord,,,"Rip Cord",,,,,,,,,,,,,,,,,,
ripoff,,ripoff,,,"Rip Off",,,,,,,,,,,,,,,,,,
ripribit,,ripribit,,,"Ripper Ribbit",,,"(Version 3.5)",,,,,,,,,,,,,,,
ripribit,,ripribita,,,"Ripper Ribbit",,,"(Version 2.8.4)",,,,,,,,,,,,,,,
riskchal,,riskchal,,,"Risky Challenge",,,,,,,,,,,,,,,,,,
riskchal,,gussun,,,"Gussun Oyoyo",,,(Japan),,,,,,,,,,,,,,,
rjammer,,rjammer,,,"Roller Jammer",,,,,,,,,,,,,,,,,,
rmhaihai,,rmhaihib,,,"Real Mahjong Haihai [BET]",,,(Japan),,,,,,,,,,,,,,,
rmhaihai,,rmhaihai,,,"Real Mahjong Haihai",,,(Japan),,,,,,,,,,,,,,,
rmhaijin,,rmhaijin,,,"Real Mahjong Haihai Jinji Idou Hen",,,(Japan),,,,,,,,,,,,,,,
rmhaisei,,rmhaisei,,,"Real Mahjong Haihai Seichouhen",,,(Japan),,,,,,,,,,,,,,,
rmpgwt,,rmpgwt11,,,"Rampage: World Tour",,,"(rev 1.1)",,,,,,,,,,,,,,,
rmpgwt,,rmpgwt,,,"Rampage: World Tour",,,"(rev 1.3)",,,,,,,,,,,,,,,
roadblst,,roadblstc1,,,"Road Blasters",,,"(cockpit, rev 1)",,,,,,,,,,,,,,,
roadblst,,roadblstc,,,"Road Blasters",,,"(cockpit, rev 2)",,,,,,,,,,,,,,,
roadblst,,roadblstg,,,"Road Blasters",,,"(upright, German, rev 3)",,,,,,,,,,,,,,,
roadblst,,roadblstcg,,,"Road Blasters",,,"(cockpit, German, rev 1)",,,,,,,,,,,,,,,
roadblst,,roadblst1,,,"Road Blasters",,,"(upright, rev 1)",,,,,,,,,,,,,,,
roadblst,,roadblst,,,"Road Blasters",,,"(upright, rev 4)",,,,,,,,,,,,,,,
roadblst,,roadblst3,,,"Road Blasters",,,"(upright, rev 3)",,,,,,,,,,,,,,,
roadblst,,roadblst2,,,"Road Blasters",,,"(upright, rev 2)",,,,,,,,,,,,,,,
roadblst,,roadblstgu,,,"Road Blasters",,,"(upright, German, rev ?)",,,,,,,,,,,,,,,
roadblst,,roadblstg2,,,"Road Blasters",,,"(upright, German, rev 2)",,,,,,,,,,,,,,,
roadblst,,roadblstg1,,,"Road Blasters",,,"(upright, German, rev 1)",,,,,,,,,,,,,,,
roadburn,,roadburn,,,"Road Burners",,,"(ver 1.04)",,,,,,,,,,,,,,,
roadedge,,roadedge,,,"Roads Edge / Round Trip",,,(rev.B),,,,,,,,,,,,,,,
roadf,,roadf2,,,"Road Fighter",,,"(set 2)",,,,,,,,,,,,,,,
roadf,,roadf,,,"Road Fighter",,,"(set 1)",,,,,,,,,,,,,,,
roadriot,,roadriot,,,"Road Riot 4WD",,,"(set 1, 04 Dec 1991)",,,,,,,,,,,,,,,
roadrunn,,roadrunn2,,,"Road Runner",,,"(rev 1+)",,,,,,,,,,,,,,,
roadrunn,,roadrunn,,,"Road Runner",,,"(rev 2)",,,,,,,,,,,,,,,
roadrunn,,roadrunn1,,,"Road Runner",,,"(rev 1)",,,,,,,,,,,,,,,
robadv,,robadvd1,,,"Robin's Adventure",,,"(Version 1.7R, set 2)",,,,,,,,,,,,,,,
robadv,,robadvc1,,,"Robin's Adventure",,,"(Version 1.7R, set 1)",,,,,,,,,,,,,,,
robadv,,robadv,,,"Robin's Adventure",,,"(Version 1.7E Dual)",,,,,,,,,,,,,,,
robadv,,robadvv1,,,"Robin's Adventure",,,"(Version 1.7R Dual)",,,,,,,,,,,,,,,
robadv,,robadvo,,,"Robin's Adventure",,,"(Version 1.5)",,,,,,,,,,,,,,,
robadv2,,robadv2d2,,,"Robin's Adventure 2",,,"(Version 1.7LT, set 2)",,,,,,,,,,,,,,,
robadv2,,robadv2v2,,,"Robin's Adventure 2",,,"(Version 1.7LT Dual)",,,,,,,,,,,,,,,
robadv2,,robadv2v1,,,"Robin's Adventure 2",,,"(Version 1.7R Dual)",,,,,,,,,,,,,,,
robadv2,,robadv2d1,,,"Robin's Adventure 2",,,"(Version 1.7R, set 2)",,,,,,,,,,,,,,,
robadv2,,robadv2c1,,,"Robin's Adventure 2",,,"(Version 1.7R, set 1)",,,,,,,,,,,,,,,
robadv2,,robadv2o2,,,"Robin's Adventure 2",,,"(Version 1.5)",,,,,,,,,,,,,,,
robadv2,,robadv2c3,,,"Robin's Adventure 2",,,"(Version 1.7SH, set 1)",,,,,,,,,,,,,,,
robadv2,,robadv2c2,,,"Robin's Adventure 2",,,"(Version 1.7LT, set 1)",,,,,,,,,,,,,,,
robadv2,,robadv2,,,"Robin's Adventure 2",,,"(Version 1.7E Dual)",,,,,,,,,,,,,,,
robadv2,,robadv2v3,,,"Robin's Adventure 2",,,"(Version 1.7SH Dual)",,,,,,,,,,,,,,,
robadv2,,robadv2d3,,,"Robin's Adventure 2",,,"(Version 1.7SH, set 2)",,,,,,,,,,,,,,,
robadv2,,robadv2o,,,"Robin's Adventure 2",,,"(Version 1.5SH)",,,,,,,,,,,,,,,
robby,,robby,,,"The Adventures of Robby Roto!",,,,,,,,,,,,,,,,,,
roboarmy,,roboarmy,,,"Robo Army",,,,,,,,,,,,,,,,,,
robocop,,robocopj,,,Robocop,,,(Japan),,,,,,,,,,,,,,,
robocop,,automat,,,Automat,,,"(bootleg of Robocop)",,,,,,,,,,,,,,,
robocop,,robocopb,,,Robocop,,,"(World bootleg)",,,,,,,,,,,,,,,
robocop,,robocop,,,Robocop,,,"(World revision 4)",,,,,,,,,,,,,,,
robocop,,robocopu0,,,Robocop,,,"(US revision 0)",,,,,,,,,,,,,,,
robocop,,robocopu,,,Robocop,,,"(US revision 1)",,,,,,,,,,,,,,,
robocop,,robocopw,,,Robocop,,,"(World revision 3)",,,,,,,,,,,,,,,
robocop2,,robocop2j,,,"Robocop 2",,,"(Japan v0.11)",,,,,,,,,,,,,,,
robocop2,,robocop2u,,,"Robocop 2",,,"(US v0.10)",,,,,,,,,,,,,,,
robocop2,,robocop2,,,"Robocop 2",,,"(Euro/Asia v0.10)",,,,,,,,,,,,,,,
robocop2,,robocop2ua,,,"Robocop 2",,,"(US v0.05)",,,,,,,,,,,,,,,
robokid,,robokid,,,"Atomic Robo-kid",,,"(World, Type-2)",,,,,,,,,,,,,,,
robokid,,robokidj,,,"Atomic Robo-kid",,,"(Japan, Type-2, set 1)",,,,,,,,,,,,,,,
robokid,,robokidj2,,,"Atomic Robo-kid",,,"(Japan, Type-2, set 2)",,,,,,,,,,,,,,,
robotbwl,,robotbwl,,,"Robot Bowl",,,,,,,,,,,,,,,,,,
robotron,,robotron,,,"Robotron: 2084",,,"(Solid Blue label)",,,,,,,,,,,,,,,
robotron,,robotronyo,,,"Robotron: 2084",,,"(Yellow/Orange label)",,,,,,,,,,,,,,,
robowres,,robowresb,,,"Robo Wres 2001",,,(bootleg),,,,,,,,,,,,,,,
robowres,,robowres,,,"Robo Wres 2001",,,,,,,,,,,,,,,,,,
rockclim,,rockclim,,,"Rock Climber",,,,,,,,,,,,,,,,,,
rockduck,,rockduck,,,"Rock Duck",,,(prototype?),,,,,,,,,,,,,,,
rockn,,rockna,,,"Rock'n Tread",,,"(Japan, alternate)",,,,,,,,,,,,,,,
rockn,,rockn,,,"Rock'n Tread",,,(Japan),,,,,,,,,,,,,,,
rockn2,,rockn2,,,"Rock'n Tread 2",,,(Japan),,,,,,,,,,,,,,,
rockn3,,rockn3,,,"Rock'n 3",,,(Japan),,,,,,,,,,,,,,,
rockn4,,rockn4,,,"Rock'n 4",,,"(Japan, prototype)",,,,,,,,,,,,,,,
rocknms,,rocknms,,,"Rock'n MegaSession",,,(Japan),,,,,,,,,,,,,,,
rockrage,,rockrage,,,"Rock'n Rage",,,(World),,,,,,,,,,,,,,,
rockrage,,rockragea,,,"Rock'n Rage",,,(prototype?),,,,,,,,,,,,,,,
rockrage,,rockragej,,,"Koi no Hotrock",,,(Japan),,,,,,,,,,,,,,,
rocktris,,rocktris,,,"Rock Tris",,,,,,,,,,,,,,,,,,
rocktrv2,,rocktrv2,,,"MTV Rock-N-Roll Trivia",,,"(Part 2)",,,,,,,,,,,,,,,
rocnrope,,rocnrope,,,"Roc'n Rope",,,,,,,,,,,,,,,,,,
rocnrope,,ropeman,,,Ropeman,,,"(bootleg of Roc'n Rope)",,,,,,,,,,,,,,,
rocnrope,,rocnropek,,,"Roc'n Rope",,,(Kosuka),,,,,,,,,,,,,,,
rodland,,rittam,,,R&T,,,"(Rod-Land prototype?)",,,,,,,,,,,,,,,
rodland,,rodlandjb,,,Rod-Land,,,"(Japan bootleg)",,,,,,,,,,,,,,,
rodland,,rodlandj,,,Rod-Land,,,(Japan),,,,,,,,,,,,,,,
rodland,,rodland,,,Rod-Land,,,(World),,,,,,,,,,,,,,,
rohga,,wolffang,,,"Wolf Fang -Kuhga 2001-",,,(Japan),,,,,,,,,,,,,,,
rohga,,rohgau,,,"Rohga Armor Force",,,"(US v1.0)",,,,,,,,,,,,,,,
rohga,,rohgah,,,"Rohga Armor Force",,,"(Hong Kong v3.0)",,,,,,,,,,,,,,,
rohga,,rohga,,,"Rohga Armor Force",,,"(Asia/Europe v5.0)",,,,,,,,,,,,,,,
rohga,,rohga1,,,"Rohga Armor Force",,,"(Asia/Europe v3.0 set 1)",,,,,,,,,,,,,,,
rohga,,rohga2,,,"Rohga Armor Force",,,"(Asia/Europe v3.0 set 2)",,,,,,,,,,,,,,,
roishtar,,roishtar,,,"The Return of Ishtar",,,,,,,,,,,,,,,,,,
rolcrush,,rolcrush,,,"Rolling Crush",,,"(version 1.07.E - 1999/02/11, Trust license)",,,,,,,,,,,,,,,
roldfrog,,roldfroga,,,"The Return of Lady Frog",,,"(set 2)",,,,,,,,,,,,,,,
roldfrog,,roldfrog,,,"The Return of Lady Frog",,,"(set 1)",,,,,,,,,,,,,,,
rollerg,,rollergj,,,Rollergames,,,(Japan),,,,,,,,,,,,,,,
rollerg,,rollerg,,,Rollergames,,,(US),,,,,,,,,,,,,,,
rollingc,,rollingc,,,"Rolling Crash / Moon Base",,,,,,,,,,,,,,,,,,
rompers,,romperso,,,Rompers,,,"(Japan, old version)",,,,,,,,,,,,,,,
rompers,,rompers,,,Rompers,,,"(Japan, new version (Rev B))",,,,,,,,,,,,,,,
rongrong,,rongrongg,,,"Puzzle Game Rong Rong",,,(Germany),,,,,,,,,,,,,,,
rongrong,,rongrong,,,"Puzzle Game Rong Rong",,,(Europe),,,,,,,,,,,,,,,
rongrong,,rongrongj,,,"Puzzle Game Rong Rong",,,(Japan),,,,,,,,,,,,,,,
ronjans,,ronjan,,,"Ron Jan",,,,,,,,,,,,,,,,,,
rotaryf,,rotaryf,,,"Rotary Fighter",,,,,,,,,,,,,,,,,,
rotd,,rotd,,,"Rage of the Dragons",,,(NGM-2640?),,,,,,,,,,,,,,,
roughrac,,roughrac,,,"Rough Racer",,,"(Japan, Floppy Based, FD1094 317-0058-06b)",,,,,,,,,,,,,,,
rougien,,rougien,,,Rougien,,,,,,,,,,,,,,,,,,
roul,,roul,,,"Super Lucky Roulette",,,,,,,,,,,,,,,,,,
roundup,,ttfitter,,,"T.T. Fitter",,,(Japan),,,,,,,,,,,,,,,
roundup,,fitter,,,Fitter,,,,,,,,,,,,,,,,,,
roundup,,roundup,,,Round-Up,,,,,,,,,,,,,,,,,,
roundup,,fitterbl,,,Fitter,,,"(bootleg of Round-Up)",,,,,,,,,,,,,,,
roundup5,,roundup5,,,"Round Up 5 - Super Delta Force",,,,,,,,,,,,,,,,,,
route16,,route16a,,,"Route 16",,,"(set 2)",,,,,,,,,,,,,,,
route16,,route16,,,"Route 16",,,"(set 1)",,,,,,,,,,,,,,,
route16,,route16bl,,,"Route 16",,,(bootleg),,,,,,,,,,,,,,,
route16,,routex,,,"Route X",,,(bootleg),,,,,,,,,,,,,,,
route16,,route16c,,,"Route 16",,,"(set 3, bootleg?)",,,,,,,,,,,,,,,
royalcrd,,royalcrdf,,,"Royal Card",,,"(Slovak, encrypted)",,,,,,,,,,,,,,,
royalcrd,,royalcrde,,,"Royal Card",,,"(Austrian, set 6)",,,,,,,,,,,,,,,
royalcrd,,royalcrdp,,,"Royal Card v2.0 Professional",,,,,,,,,,,,,,,,,,
royalcrd,,royalcrdg,,,"Royal Card",,,"(Austrian, set 7, CMC C1030 HW)",,,,,,,,,,,,,,,
royalcrd,,royalcrdd,,,"Royal Card",,,"(Austrian, set 5)",,,,,,,,,,,,,,,
royalcrd,,royalcrd,,,"Royal Card",,,"(Austrian, set 1)",,,,,,,,,,,,,,,
royalcrd,,royalcdfr,,,"Royal Card",,,(French),,,,,,,,,,,,,,,
royalcrd,,royalcrdb,,,"Royal Card",,,"(Austrian/Polish, set 3)",,,,,,,,,,,,,,,
royalcrd,,royalcrda,,,"Royal Card",,,"(Austrian, set 2)",,,,,,,,,,,,,,,
royalcrd,,lluck3x3,,,"Lucky Lady",,,"(3x3 deal)",,,,,,,,,,,,,,,
royalcrd,,lluck4x1,,,"Lucky Lady",,,"(4x1 aces)",,,,,,,,,,,,,,,
royalcrd,,royalcrdt,,,"Royal Card",,,"(TAB original)",,,,,,,,,,,,,,,
royale,,royalea,,,Royale,,,"(set 2)",,,,,,,,,,,,,,,
royale,,royale,,,Royale,,,"(set 1)",,,,,,,,,,,,,,,
royalmj,,janyoup2,,,"Janyou Part II",,,"(ver 7.03, July 1 1983)",,,,,,,,,,,,,,,
royalmj,,tahjong,,,"Tahjong Yakitori",,,"(ver. 2-1)",,,,,,,,,,,,,,,
royalmj,,openmj,,,"Open Mahjong [BET]",,,(Japan),,,,,,,,,,,,,,,
royalmj,,royalmah,,,"Royal Mahjong",,,"(Falcon bootleg, v1.01)",,,,,,,,,,,,,,,
royalmj,,royalmj,,,"Royal Mahjong",,,"(Japan, v1.13)",,,,,,,,,,,,,,,
royalqn,,royalqn,,,"Royal Queen [BET]",,,"(Japan 841010 RQ 0-07)",,,,,,,,,,,,,,,
roypok96,,roypok96a,,,"Royal Poker '96",,,"(set 2, v98-3.6)",,,,,,,,,,,,,,,
roypok96,,roypok96b,,,"Royal Poker '96",,,"(set 3, v98-3.6?)",,,,,,,,,,,,,,,
roypok96,,roypok96,,,"Royal Poker '96",,,"(set 1, v97-3.5)",,,,,,,,,,,,,,,
rpatrol,,rpatrolb,,,"River Patrol",,,"(bootleg set 2)",,,,,,,,,,,,,,,
rpatrol,,rpatrol,,,"River Patrol",,,(Japan),,,,,,,,,,,,,,,
rpatrol,,silvland,,,"Silver Land",,,,,,,,,,,,,,,,,,
rrreveng,,rrrevengb,,,"Road Riot's Revenge",,,"(prototype, Jan 27, 1994, set 2)",,,,,,,,,,,,,,,
rrreveng,,rrrevenga,,,"Road Riot's Revenge",,,"(prototype, Jan 27, 1994, set 1)",,,,,,,,,,,,,,,
rrreveng,,rrreveng,,,"Road Riot's Revenge",,,"(prototype, Sep 06, 1994)",,,,,,,,,,,,,,,
rsgun,,rsgun,,,"Radiant Silvergun",,,"(JUET 980523 V1.000)",,,,,,,,,,,,,,,
rshark,,rshark,,,R-Shark,,,,,,,,,,,,,,,,,,
rthun2,,rthun2j,,,"Rolling Thunder 2",,,(Japan),,,,,,,,,,,,,,,
rthun2,,rthun2,,,"Rolling Thunder 2",,,,,,,,,,,,,,,,,,
rthunder,,rthunder1,,,"Rolling Thunder",,,"(rev 1)",,,,,,,,,,,,,,,
rthunder,,rthunder2,,,"Rolling Thunder",,,"(rev 2)",,,,,,,,,,,,,,,
rthunder,,rthunder,,,"Rolling Thunder",,,"(rev 3)",,,,,,,,,,,,,,,
rthunder,,rthunder0,,,"Rolling Thunder",,,(oldest),,,,,,,,,,,,,,,
rtriv,,rtriv,,,"Romar Triv",,,,,,,,,,,,,,,,,,
rtype,,rtypejp,,,R-Type,,,"(Japan prototype)",,,,,,,,,,,,,,,
rtype,,rtypeb,,,R-Type,,,"(World bootleg)",,,,,,,,,,,,,,,
rtype,,rtypej,,,R-Type,,,(Japan),,,,,,,,,,,,,,,
rtype,,rtype,,,R-Type,,,(World),,,,,,,,,,,,,,,
rtype,,rtypem82b,,,R-Type,,,"(Japan, bootleg Major Title conversion, M82)",,,,,,,,,,,,,,,
rtype,,rtypeu,,,R-Type,,,(US),,,,,,,,,,,,,,,
rtype2,,rtype2,,,"R-Type II",,,,,,,,,,,,,,,,,,
rtype2,,rtype2j,,,"R-Type II",,,(Japan),,,,,,,,,,,,,,,
rtype2,,rtype2m82b,,,"R-Type II",,,"(Japan, bootleg Major Title conversion, M82)",,,,,,,,,,,,,,,
rtypeleo,,rtypeleo,,,"R-Type Leo",,,(World),,,,,,,,,,,,,,,
rtypeleo,,rtypeleoj,,,"R-Type Leo",,,(Japan),,,,,,,,,,,,,,,
rumblef,,rumblef,,,"The Rumble Fish",,,,,,,,,,,,,,,,,,
runaway,,runaway,,,Runaway,,,(prototype),,,,,,,,,,,,,,,
rungun,,rungunb,,,"Run and Gun",,,"(ver EAA 1993 9.10, prototype?)",,,,,,,,,,,,,,,
rungun,,rungunbd,,,"Run and Gun",,,"(ver EAA 1993 9.10, prototype?) (dual screen with demux adapter)",,,,,,,,,,,,,,,
rungun,,rungunad,,,"Run and Gun",,,"(ver EAA 1993 10.4) (dual screen with demux adapter)",,,,,,,,,,,,,,,
rungun,,rungun,,,"Run and Gun",,,"(ver EAA 1993 10.8)",,,,,,,,,,,,,,,
rungun,,runguna,,,"Run and Gun",,,"(ver EAA 1993 10.4)",,,,,,,,,,,,,,,
rungun,,rungunua,,,"Run and Gun",,,"(ver UBA 1993 10.8)",,,,,,,,,,,,,,,
rungun,,rungunuad,,,"Run and Gun",,,"(ver UBA 1993 10.8) (dual screen with demux adapter)",,,,,,,,,,,,,,,
rungun,,slmdunkjd,,,"Slam Dunk",,,"(ver JAA 1993 10.8) (dual screen with demux adapter)",,,,,,,,,,,,,,,
rungun,,rungunud,,,"Run and Gun",,,"(ver UAB 1993 10.12, dedicated twin cabinet)",,,,,,,,,,,,,,,
rungun,,slmdunkj,,,"Slam Dunk",,,"(ver JAA 1993 10.8)",,,,,,,,,,,,,,,
rungun2,,slamdnk2,,,"Slam Dunk 2",,,"(ver JAA)",,,,,,,,,,,,,,,
rungun2,,rungun2,,,"Run and Gun 2",,,"(ver UAA)",,,,,,,,,,,,,,,
rushhero,,rushhero,,,"Rushing Heroes",,,"(ver UAB)",,,,,,,,,,,,,,,
rvschool,,rvschoolu,,,"Rival Schools: United By Fate",,,"(USA 971117)",,,,,,,,,,,,,,,
rvschool,,jgakuen,,,"Shiritsu Justice Gakuen: Legion of Heroes",,,"(Japan 971117)",,,,,,,,,,,,,,,
rvschool,,rvschool,,,"Rival Schools: United By Fate",,,"(Euro 971117)",,,,,,,,,,,,,,,
rvschool,,rvschoola,,,"Rival Schools: United By Fate",,,"(Asia 971117)",,,,,,,,,,,,,,,
rygar,,rygarj,,,"Argus no Senshi",,,(Japan),,,,,,,,,,,,,,,
rygar,,rygar,,,Rygar,,,"(US set 1)",,,,,,,,,,,,,,,
rygar,,rygar2,,,Rygar,,,"(US set 2)",,,,,,,,,,,,,,,
rygar,,rygar3,,,Rygar,,,"(US set 3 Old Version)",,,,,,,,,,,,,,,
ryorioh,,ryorioh,,,"Gourmet Battle Quiz Ryohrioh CooKing",,,(Japan),,,,,,,,,,,,,,,
ryouran,,ryourano,,,"VS Mahjong Otome Ryouran",,,"(set 2)",,,,,,,,,,,,,,,
ryouran,,ryouran,,,"VS Mahjong Otome Ryouran",,,"(set 1)",,,,,,,,,,,,,,,
ryujin,,ryujin,,,"Ryu Jin",,,(Japan),,,,,,,,,,,,,,,
ryukyu,,ryukyu,,,RyuKyu,,,"(Japan) (FD1094 317-5023)",,,,,,,,,,,,,,,
s1945,,s1945k,,,"Strikers 1945",,,(Korea),,,,,,,,,,,,,,,
s1945,,s1945,,,"Strikers 1945",,,(World),,,,,,,,,,,,,,,
s1945,,s1945a,,,"Strikers 1945",,,"(Japan / World)",,,,,,,,,,,,,,,
s1945,,s1945bl,,,"Strikers 1945",,,"(Hong Kong, bootleg)",,,,,,,,,,,,,,,
